Roller contact length [m],0.001587802146457606
Load no,T_r [C],alpha_max,front_x,front_v (mm/s),Q_roller (power per unit thickness from both rollers [W/m]),Q_roller_noFP (from both rollers power per unit thickness [W/m]),R_tc,V_r,T0, Tamb, Hgap, phi1, phi2, alpha0, h_conv
0,40.0,0.11178126878899682,-inf,1.5,0.995755308177889,-2.547461015679155e-09,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.11858544831662725,-inf,1.5,-5.169925811514463,-6.331292990757164,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.1330205105872552,-inf,1.5,-11.233724370528549,-12.662585978923929,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.17868555746582335,-inf,1.5,-17.119497567577948,-18.99387896712642,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.8564039274433234,0.0013911133673614599,1.5,3.837293771788005,-25.325171955355557,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.8572725355762687,0.0011257037214713514,1.5,3.847097657909453,-31.65646494352289,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.8574406753203379,0.0008926247910491382,1.5,4.1170771894917895,-37.98775793174894,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.8567125310920003,0.0006765297832178913,1.5,4.8261764596403935,-44.319050919908214,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.8547536564407793,0.00046343363933179233,1.5,6.2595776039496265,-50.65034390817006,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.8512073807940291,0.0002345334609793996,1.5,8.82037313708549,-56.981636896327515,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.8463595377538532,-3.88216155477787e-05,1.5,12.761340403844113,-63.31292988451613,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.8421612833113978,-0.00036923330997004356,1.5,17.54463701400369,-69.64422287272359,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.8409285145111047,-0.0007207226421782576,1.5,22.118386241403908,-75.97551586091603,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.8430276078964904,-0.0010738887215838784,1.5,25.809805175867385,-82.3068088491018,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.867431013745348,-0.0096134050589129,1.5,54.50051136791514,-88.63810183733032,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.871838189607425,-0.009613521338617995,1.5,48.50767028283984,-94.96939482552636,1e-05,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
